20151109-M-Mouilleron_Le_Captif_CH-QF-Lucas_Pouille-Sergiy_Stakhovsky,lucas pouille,sergiy stakhovsky,lucas pouille
20151108-M-Paris-F-Andy_Murray-Novak_Djokovic,andy murray,novak djokovic,novak djokovic
20151107-M-Paris-SF-Novak_Djokovic-Stanislas_Wawrinka,novak djokovic,stanislas wawrinka,novak djokovic
20151107-M-Paris-SF-David_Ferrer-Andy_Murray,david ferrer,andy murray,andy murray
20151106-M-Paris-QF-Tomas_Berdych-Novak_Djokovic,tomas berdych,novak djokovic,novak djokovic
20151105-M-Paris-R32-Novak_Djokovic-Thomaz_Bellucci,novak djokovic,thomaz bellucci,novak djokovic
20151105-M-Paris-R16-Tomas_Berdych-Jo_Wilfried_Tsonga,tomas berdych,jo wilfried tsonga,tomas berdych
20151105-M-Paris-R16-Stanislas_Wawrinka-Viktor_Troicki,stanislas wawrinka,viktor troicki,stanislas wawrinka
20151105-M-Paris-R16-Rafael_Nadal-Kevin_Anderson,rafael nadal,kevin anderson,rafael nadal
20151105-M-Paris-R16-Novak_Djokovic-Gilles_Simon,novak djokovic,gilles simon,novak djokovic
20151105-M-Paris-R16-John_Isner-Roger_Federer,john isner,roger federer,john isner
20151105-M-Paris-R16-Andy_Murray-David_Goffin,andy murray,david goffin,andy murray
20151104-M-Paris-R32-Roberto_Bautista_Agut-Jo_Wilfried_Tsonga,roberto bautista agut,jo wilfried tsonga,jo wilfried tsonga
20151104-M-Paris-R32-John_Isner-Aljaz_Bedene,john isner,aljaz bedene,john isner
20151104-M-Paris-R32-Andy_Murray-Borna_Coric,andy murray,borna coric,andy murray
20151104-M-Paris-R32-Andreas_Seppi-Roger_Federer,andreas seppi,roger federer,roger federer
20151103-M-Paris-R64-Viktor_Troicki-Jack_Sock,viktor troicki,jack sock,viktor troicki
20151103-M-Paris-R64-Lucas_Pouille-Jeremy_Chardy,lucas pouille,jeremy chardy,jeremy chardy
20151103-M-Paris-R32-Edouard_Roger_Vasselin-Ivo_Karlovic,edouard roger vasselin,ivo karlovic,edouard roger vasselin
20151102-M-Paris-R64-Teymuraz_Gabashvili-Thomaz_Bellucci,teymuraz gabashvili,thomaz bellucci,thomaz bellucci
20151102-M-Paris-R64-Martin_Klizan-Leonardo_Mayer,martin klizan,leonardo mayer,leonardo mayer
20151102-M-Paris-R64-Borna_Coric-Fernando_Verdasco,borna coric,fernando verdasco,borna coric
20151102-M-Paris-R64-Benoit_Paire-Gael_Monfils,benoit paire,gael monfils,benoit paire
20151102-M-Paris-R64-Aljaz_Bedene-Marcel_Granollers,aljaz bedene,marcel granollers,aljaz bedene
20151102-M-Paris-R64-Adrian_Mannarino-Dominic_Thiem,adrian mannarino,dominic thiem,dominic thiem
20151101-M-Valencia-F-Roberto_Bautista_Agut-Joao_Sousa,roberto bautista agut,joao sousa,joao sousa
20151101-M-Basel-F-Rafael_Nadal-Roger_Federer,rafael nadal,roger federer,roger federer
20151031-M-Valencia-SF-Vasek_Pospisil-Joao_Sousa,vasek pospisil,joao sousa,joao sousa
20151031-M-Valencia-SF-Roberto_Bautista_Agut-Steve_Johnson,roberto bautista agut,steve johnson,roberto bautista agut
20151031-M-Basel-SF-Roger_Federer-Jack_Sock,roger federer,jack sock,roger federer
20151031-M-Basel-SF-Rafael_Nadal-Richard_Gasquet,rafael nadal,richard gasquet,rafael nadal
20151030-M-Valencia-QF-Steve_Johnson-Guillermo_Garcia_Lopez,steve johnson,guillermo garcia lopez,steve johnson
20151030-M-Valencia-QF-Joao_Sousa-Pablo_Cuevas,joao sousa,pablo cuevas,joao sousa
20151030-M-Valencia-QF-Joao_Sousa-Pablo_Cuevas,joao sousa,pablo cuevas,joao sousa
20151030-M-Basel-QF-Roger_Federer-David_Goffin,roger federer,david goffin,roger federer
20151030-M-Basel-QF-Donald_Young-Jack_Sock,donald young,jack sock,jack sock
20151029-M-Basel-R16-Rafael_Nadal-Grigor_Dimitrov,rafael nadal,grigor dimitrov,rafael nadal
20151029-M-Basel-R16-Philipp_Kohlschreiber-Roger_Federer,philipp kohlschreiber,roger federer,roger federer
20151027-M-Basel-R32-John_Isner-Ernests_Gulbis,john isner,ernests gulbis,john isner
20151027-M-Basel-R32-Grigor_Dimitrov-Sergiy_Stakhovsky,grigor dimitrov,sergiy stakhovsky,grigor dimitrov
20151025-M-Vienna-F-Steve_Johnson-David_Ferrer,steve johnson,david ferrer,david ferrer
20151025-M-Stockholm-F-Tomas_Berdych-Jack_Sock,tomas berdych,jack sock,tomas berdych
20151024-M-Vienna-SF-Steve_Johnson-Ernests_Gulbis,steve johnson,ernests gulbis,steve johnson
20151024-M-Stockholm-SF-Richard_Gasquet-Jack_Sock,richard gasquet,jack sock,jack sock
20151023-M-Vienna-QF-Gael_Monfils-Lukas_Rosol,gael monfils,lukas rosol,gael monfils
20151023-M-Stockholm-QF-Richard_Gasquet-Jeremy_Chardy,richard gasquet,jeremy chardy,richard gasquet
20151023-M-Stockholm-QF-Jack_Sock-Gilles_Simon,jack sock,gilles simon,jack sock
20151023-M-Stockholm-QF-Gilles_Muller-Marcos_Baghdatis,gilles muller,marcos baghdatis,marcos baghdatis
20151022-M-Vienna-R16-Jo_Wilfried_Tsonga-Lukas_Rosol,jo wilfried tsonga,lukas rosol,lukas rosol
20151022-M-Stockholm-R16-Jeremy_Chardy-Federico_Delbonis,jeremy chardy,federico delbonis,jeremy chardy
20151021-M-Vienna-R16-Sergiy_Stakhovsky-Ivo_Karlovic,sergiy stakhovsky,ivo karlovic,ivo karlovic
20151021-M-Stockholm-R16-Leonardo_Mayer-Gilles_Simon,leonardo mayer,gilles simon,gilles simon
20151020-M-Stockholm-R32-Sam_Querrey-Marcos_Baghdatis,sam querrey,marcos baghdatis,marcos baghdatis
20151018-M-Shanghai_Masters-F-Jo_Wilfried_Tsonga-Novak_Djokovic,jo wilfried tsonga,novak djokovic,novak djokovic
20151017-M-Shanghai_Masters-SF-Andy_Murray-Novak_Djokovic,andy murray,novak djokovic,novak djokovic
20151017-M-Ho_Chi_Minh_City_CH-SF-Flavio_Cipolla-Jordan_Thompson,flavio cipolla,jordan thompson,jordan thompson
20151017-M-Fairfield_CH-SF-Francis_Tiafoe-Dustin_Brown,francis tiafoe,dustin brown,dustin brown
20151016-M-Shanghai_Masters-QF-Tomas_Berdych-Andy_Murray,tomas berdych,andy murray,andy murray
20151016-M-Shanghai_Masters-QF-Rafael_Nadal-Stanislas_Wawrinka,rafael nadal,stanislas wawrinka,rafael nadal
20151016-M-Shanghai_Masters-QF-Novak_Djokovic-Bernard_Tomic,novak djokovic,bernard tomic,novak djokovic
20151015-M-Shanghai_Masters-R16-Novak_Djokovic-Feliciano_Lopez,novak djokovic,feliciano lopez,novak djokovic
20151014-M-Shanghai_Masters-R32-Viktor_Troicki-Stanislas_Wawrinka,viktor troicki,stanislas wawrinka,stanislas wawrinka
20151014-M-Shanghai_Masters-R32-Novak_Djokovic-Martin_Klizan,novak djokovic,martin klizan,novak djokovic
20151014-M-Shanghai_Masters-R32-David_Ferrer-Bernard_Tomic,david ferrer,bernard tomic,bernard tomic
20151013-M-Shanghai_Masters-R64-Milos_Raonic-Thomaz_Bellucci,milos raonic,thomaz bellucci,milos raonic
20151011-M-Tokyo-F-Stanislas_Wawrinka-Benoit_Paire,stanislas wawrinka,benoit paire,stanislas wawrinka
20151011-M-Sacramento_CH-F-Jared_Donaldson-Taylor_Harry_Fritz,jared donaldson,taylor harry fritz,taylor harry fritz
20151011-M-Beijing-F-Rafael_Nadal-Novak_Djokovic,rafael nadal,novak djokovic,novak djokovic
20151010-M-Tokyo-SF-Kei_Nishikori-Benoit_Paire,kei nishikori,benoit paire,benoit paire
20151010-M-Tokyo-SF-Gilles_Muller-Stanislas_Wawrinka,gilles muller,stanislas wawrinka,stanislas wawrinka
20151010-M-Beijing-SF-David_Ferrer-Novak_Djokovic,david ferrer,novak djokovic,novak djokovic
20151009-M-Tokyo-QF-Nick_Kyrgios-Benoit_Paire,nick kyrgios,benoit paire,benoit paire
20151009-M-Beijing-QF-John_Isner-Novak_Djokovic,john isner,novak djokovic,novak djokovic
20151008-M-Tokyo-R16-Roberto_Bautista_Agut-Nick_Kyrgios,roberto bautista agut,nick kyrgios,nick kyrgios
20151008-M-Beijing-R16-Pablo_Cuevas-Ivo_Karlovic,pablo cuevas,ivo karlovic,pablo cuevas
20151008-M-Beijing-R16-David_Goffin-Fabio_Fognini,david goffin,fabio fognini,fabio fognini
20151007-M-Beijing-R16-Viktor_Troicki-Yen_Hsun_Lu,viktor troicki,yen hsun lu,yen hsun lu
20151005-M-Tokyo-R32-Kei_Nishikori-Borna_Coric,kei nishikori,borna coric,kei nishikori
20151005-M-Beijing-R32-David_Goffin-Andreas_Seppi,david goffin,andreas seppi,david goffin
20151004-M-Kuala_Lumpur-F-David_Ferrer-Feliciano_Lopez,david ferrer,feliciano lopez,david ferrer
20151003-M-Kuala_Lumpur-SF-Feliciano_Lopez-Nick_Kyrgios,feliciano lopez,nick kyrgios,feliciano lopez
20151002-M-Shenzhen-QF-Marin_Cilic-Hyeon_Chung,marin cilic,hyeon chung,marin cilic
20151001-M-Shenzhen-R16-John_Millman-Marin_Cilic,john millman,marin cilic,marin cilic
20150926-M-Metz-SF-Martin_Klizan-Gilles_Simon,martin klizan,gilles simon,gilles simon
20150925-M-Metz-QF-Gilles_Muller-Gilles_Simon,gilles muller,gilles simon,gilles simon
20150922-M-Metz-R32-Paul_Henri_Mathieu-Martin_Klizan,paul henri mathieu,martin klizan,martin klizan
20150919-M-Davis_Cup_World_Group_PO-RR-Philipp_Kohlschreiber-Victor_Estrella,philipp kohlschreiber,victor estrella,philipp kohlschreiber
20150913-M-US_Open-F-Roger_Federer-Novak_Djokovic,roger federer,novak djokovic,novak djokovic
20150911-M-US_Open-SF-Stanislas_Wawrinka-Roger_Federer,stanislas wawrinka,roger federer,roger federer
20150911-M-US_Open-SF-Novak_Djokovic-Marin_Cilic,novak djokovic,marin cilic,novak djokovic
20150910-M-US_Open-QF-Roger_Federer-Richard_Gasquet,roger federer,richard gasquet,roger federer
20150909-M-US_Open-QF-Novak_Djokovic-Feliciano_Lopez,novak djokovic,feliciano lopez,novak djokovic
20150908-M-US_Open-R16-Roger_Federer-John_Isner,roger federer,john isner,roger federer
20150907-M-US_Open-R16-Andy_Murray-Kevin_Anderson,andy murray,kevin anderson,kevin anderson
20150906-M-US_Open-R16-Novak_Djokovic-Roberto_Bautista_Agut,novak djokovic,roberto bautista agut,novak djokovic
20150905-M-US_Open-R32-Roger_Federer-Philipp_Kohlschreiber,roger federer,philipp kohlschreiber,roger federer
20150904-M-US_Open-R32-Rafael_Nadal-Fabio_Fognini,rafael nadal,fabio fognini,fabio fognini
20150903-M-US_Open-R64-Bernard_Tomic-Lleyton_Hewitt,bernard tomic,lleyton hewitt,bernard tomic
20150902-M-US_Open-R64-Rafael_Nadal-Diego_Sebastian_Schwartzman,rafael nadal,diego sebastian schwartzman,rafael nadal
20150902-M-US_Open-R64-Fernando_Verdasco-Milos_Raonic,fernando verdasco,milos raonic,milos raonic
20150901-M-US_Open-R128-Roger_Federer-Leonardo_Mayer,roger federer,leonardo mayer,roger federer
20150831-M-US_Open-R128-Tim_Smyczek-Milos_Raonic,tim smyczek,milos raonic,milos raonic
